platform,index,post_url,images_count,caption_preview
facebook,11,https://www.facebook.com/groups/1362848747066038/posts/39152065481050891/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 3 วัน · มาค่ะ พร้อมส
facebook,12,https://www.facebook.com/groups/1362848747066038/posts/39152047991052640/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 3 วัน · ขาย iPhone 1
facebook,13,https://www.facebook.com/groups/1362848747066038/posts/39132542603003179/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 3 วัน · มีหลายรุ่นสอ
facebook,14,https://www.facebook.com/groups/1362848747066038/posts/39109725678618205/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 4 วัน · ขาย iPhone 1
facebook,15,https://www.facebook.com/groups/1362848747066038/posts/39109497878640985/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 4 วัน · รับเทิร์นเคร
facebook,16,https://www.facebook.com/groups/1362848747066038/posts/39099725012951605/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 5 วัน · ขาย iPhone 1
facebook,17,https://www.facebook.com/groups/1362848747066038/posts/39099697079621065/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 5 วัน · ขาย iPhone 1
facebook,18,https://www.facebook.com/groups/1362848747066038/posts/39099684929622280/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 5 วัน · ขาย iPhone 1
facebook,19,https://www.facebook.com/groups/1362848747066038/posts/39077665465157560/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 5 วัน · ขาย iPhone 1
facebook,20,https://www.facebook.com/groups/1362848747066038/posts/39059994276924679/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 6 วัน · ถามได้น้า +1
facebook,21,https://www.facebook.com/groups/1362848747066038/posts/38962040656720042/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 5 สิงหาคม เวลา 19:29
facebook,22,https://www.facebook.com/groups/1362848747066038/posts/38893273063596802/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 2 สิงหาคม เวลา 19:45
facebook,23,https://www.facebook.com/groups/1362848747066038/posts/38837856009138508/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 31 กรกฎาคม เวลา 08:5
facebook,24,https://www.facebook.com/groups/1362848747066038/posts/38803095862614523/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 29 กรกฎาคม เวลา 20:1
facebook,25,https://www.facebook.com/groups/1362848747066038/posts/38777665045157605/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 29 กรกฎาคม เวลา 07:3
facebook,26,https://www.facebook.com/groups/1362848747066038/posts/38772742822316494/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 28 กรกฎาคม เวลา 13:2
facebook,27,https://www.facebook.com/groups/1362848747066038/posts/38755663170691126/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 27 กรกฎาคม เวลา 19:4
facebook,28,https://www.facebook.com/groups/1362848747066038/posts/38750646404526136/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 27 กรกฎาคม เวลา 14:1
instagram,1,https://www.instagram.com/p/CzVPXGXPUd8/,1,👀🌷นาวสต๊อกของเอง “พร้อมส่ง”🥳✨ เครื่องมือสอง สภาพ 80-90% สวยทุกเครื่อง มือ 1 เครื่องศูนย์นาวก็มีขายน้
instagram,2,https://www.instagram.com/p/Cu_JuWTPvG3/,10,🌷˚ ⛅️✦รีวิวนัดรับนัดใจสบายใจลูกค้า ˏˋ°✨ ร้านเจ้านาวมีบริการนัดรับนะแม่นะ #ส่งถึงมือลูกค้า ปิดสดกันเก
instagram,3,https://www.instagram.com/p/Crm0wHuv30y/,1,🌷﹆🪧รางวัลชีวิตในวัย 19 เข้า 20 ปี🎊 เงินก้อนแรกที่หามาด้วยตัวเอง 🌥💘✳︎ หนีก้อนแรกวัย 19 จุกๆ   ขอบคุณค
instagram,4,https://www.instagram.com/p/Dbv29LpE2Qm/,13,"❝🌷🛣️ᯓ 𝐢𝐏𝐡𝐨𝐧𝐞 𝟏𝟏 𝟔𝟒𝐆𝐁 𝐓𝐇 ꒱·🌳🍒✿. 𓈈🔖 ราคา : 𝟔,𝟓𝟓𝟎.- 🚏💖 ส่งฟรี  𓏔🪞การใช้งานปกติทุกอย่าง 𓏔🎀สแกนหน้าได้ จอ"
instagram,5,https://www.instagram.com/p/DbtbLrIE-oP/,15,"❝🌷🛣️ᯓ 𝐢𝐏𝐡𝐨𝐧𝐞 𝟖 𝐏𝐥𝐢𝐬 𝟔𝟒𝐆𝐁 𝐓𝐇 ꒱·🌳🍒✿. 𓈈🔖 ราคา : 𝟒,𝟗𝟗𝟎.- 🚏💖 ส่งฟรี  𓏔🪞การใช้งานปกติทุกอย่าง 𓏔🎀สแกนหน้าได"
instagram,6,https://www.instagram.com/p/DbtZyAUk4iH/,13,"❝🌷🛣️ᯓ 𝐢𝐏𝐡𝐨𝐧𝐞 𝟏𝟑 𝟏𝟐𝟖𝐆𝐁 𝐋𝐋꒱·🌳🍒✿. 𓈈🔖 ราคา : 𝟏𝟏,𝟗𝟗𝟎.- 🚏💖 ส่งฟรี  𓏔🪞การใช้งานปกติทุกอย่าง 𓏔🎀สแกนหน้าได้ จ"
instagram,7,https://www.instagram.com/p/DbtYz1wE3yL/,13,"❝🌷🛣️ᯓ 𝐢𝐏𝐡𝐨𝐧𝐞 𝟏𝟑 𝐏𝐫𝐨𝐦𝐚𝐱 𝟏𝟐𝟖𝐆𝐁 𝐋𝐋 ꒱·🌳🍒✿. 𓈈🔖 ราคา : 𝟏𝟒,𝟗𝟗𝟎.- 🚏💖 ส่งฟรี  𓏔🪞การใช้งานปกติทุกอย่าง 𓏔🎀สแกนห"
instagram,8,https://www.instagram.com/p/Dbow7RPE2EO/,9,"❝🌷🛣️ᯓ 𝐢𝐏𝐡𝐨𝐧𝐞 𝟏𝟒 𝐏𝐥𝐮𝐬 𝟏𝟐𝟖𝐆𝐁 𝐋𝐋 ꒱·🌳🍒✿. 𓈈🔖 ราคา : 𝟏𝟒,𝟗𝟗𝟎.- 🚏💖 ส่งฟรี  𓏔🪞การใช้งานปกติทุกอย่าง 𓏔🎀สแกนหน้"
instagram,9,https://www.instagram.com/p/DboCaoRE2UZ/,14,"❝🌷🛣️ᯓ 𝐢𝐏𝐡𝐨𝐧𝐞 𝟏𝟓 𝟏𝟐𝟖𝐆𝐁 𝐋𝐋 ꒱·🌳🍒✿. 𓈈🔖 ราคา : 𝟏𝟒,𝟗𝟗𝟎.- 🚏💖 ส่งฟรี  ୨ৎ 🌟 วางดาวน์ :  𝟐,𝟗𝟗𝟎 ผ่อนต่อ 𝟐,𝟎𝟗𝟎* "
instagram,10,https://www.instagram.com/p/DboAm2sEzog/,17,"❝🌷🛣️ᯓ 𝐢𝐏𝐡𝐨𝐧𝐞 𝟏𝟑 𝟏𝟐𝟖𝐆𝐁 โมเดลนอก ꒱·🌳🍒✿. 𓈈🔖 ราคา : 𝟏𝟏,𝟗𝟗𝟎.- 🚏💖 ส่งฟรี  ୨ৎ 🌟 วางดาวน์ :  𝟐,𝟗𝟗𝟎 ผ่อนต่อ 𝟏"
instagram,11,https://www.instagram.com/p/Dbd2PNvE5Sx/,9,"❝🌷🛣️ᯓ 𝐢𝐏𝐡𝐨𝐧𝐞 𝟏𝟓 𝐏𝐫𝐨 𝟐𝟓𝟔𝐆𝐁 𝐋𝐋 ꒱·🌳🍒✿. 𓈈🔖 ราคา : 𝟏𝟗,𝟓𝟓𝟎.- 🚏💖 ส่งฟรี  ୨ৎ 🌟 วางดาวน์ : 𝟐,𝟗𝟗𝟎 ผ่อนต่อ 𝟑,𝟎𝟖"
instagram,12,https://www.instagram.com/p/DbcpVYjoDbu/,13,"❝🌷🛣️ᯓ 𝐢𝐏𝐡𝐨𝐧𝐞 𝐒𝐄 𝟏𝟐𝟖𝐆𝐁 𝐓𝐇 𝟐𝟎𝟐𝟎 ꒱·🌳🍒✿. 𓈈🔖 ราคา : 𝟓,𝟗𝟗𝟎.- 🚏💖 ส่งฟรี  𓏔🪞การใช้งานปกติทุกอย่าง 𓏔🎀สแกนหน้า"
